+-----------+---------------+-----------+------------+--------+------+-------------+------------------------------+-------+------------+--------+-----------+-----------+-------+--------+                                                                                                                                     
| id        | ship          | propulsor | stabilizer | rudder | hull | intercooler | electronic_stability_control | score | durability | thrust | top_speed | stability | steer | strafe |                                                                                                                                     
+-----------+---------------+-----------+------------+--------+------+-------------+------------------------------+-------+------------+--------+-----------+-----------+-------+--------+                                                                                                                                     
| 166926837 | Koeniggswerth | PSCO      | ZE70       | HURR   | HSBE | ISKO        | ET61                         |  1042 |         75 |     53 |        56 |        60 |    60 |     20 |                                                                                                                                     
|  83204357 | Koeniggswerth | 8-TI      | BTLG       | HURR   | HSAK | ISES        | AGIK                         |  1048 |         75 |     53 |        58 |        55 |    55 |     40 |                                                                                                                                     
|  83183666 | Koeniggswerth | 8-TI      | BTLG       | HURR   | HSAK | ISES        | AGIZ                         |  1023 |         75 |     53 |        58 |        55 |    55 |     27 |                                                                                                                                     
|  83169872 | Koeniggswerth | 8-TI      | BTLG       | HURR   | HSAK | ISES        | NUE                          |  1013 |         75 |     53 |        58 |        55 |    55 |     23 |                                                                                                                                     
|  83162975 | Koeniggswerth | 8-TI      | BTLG       | HURR   | HSAK | ISES        | TENGU                        |  1008 |         75 |     53 |        58 |        55 |    55 |     20 |                                                                                                                                     
| 166836816 | Koeniggswerth | PSCO      | BTLG       | SVLY   | HSBE | ISKO        | PI70                         |  1089 |         75 |     53 |        56 |        53 |    53 |     60 |                                                                                                                                     
| 166829919 | Koeniggswerth | PSCO      | BTLG       | SVLY   | HSBE | ISKO        | SG69                         |  1064 |         75 |     53 |        56 |        53 |    53 |     48 |                                                                                                                                     
| 166809048 | Koeniggswerth | PSCO      | BTLG       | TORN   | HSBE | ISKO        | ET61                         |  1003 |         75 |     53 |        56 |        50 |    50 |     23 |                                                                                                                                     
|  83114336 | Koeniggswerth | 8-TI      | STRM       | SVLY   | HSAK | ISES        | RYUU                         |  1085 |         75 |     53 |        58 |        48 |    48 |     75 |                                                                                                                                     
|  83093645 | Koeniggswerth | 8-TI      | STRM       | SVLY   | HSAK | ISES        | ONI                          |  1055 |         75 |     53 |        58 |        48 |    48 |     59 |                                                                                                                                     
|  83059160 | Koeniggswerth | 8-TI      | STRM       | SVLY   | HSAK | ISES        | TH60                         |  1025 |         75 |     53 |        58 |        48 |    48 |     45 |                                                                                                                                     
|  83086568 | Koeniggswerth | 8-TI      | STRM       | TORN   | HSAK | ISES        | AGIK                         |  1009 |         75 |     53 |        58 |        45 |    45 |     43 |                                                                                                                                     
|  82852610 | Koeniggswerth | 8-TI      | MTKA       | HURR   | HSAK | ISES        | AGIK                         |  1004 |         75 |     53 |        58 |        45 |    45 |     40 |                                                                                                                                     
| 166340412 | Koeniggswerth | PSCO      | GA60       | TSLY   | HSBE | ISKO        | ET61                         |  1001 |         75 |     53 |        56 |        45 |    45 |     32 |                                                                                                                                     
